what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362968335549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362968337559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362969037131
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1362969111371
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1362969111481
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1362969111521
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1362969111551
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1362969111581
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1362969111581
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1362969111621
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1362969111991
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1362969112001
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1362969112021
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1362969112031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362969130163
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362969535594
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362969536574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978079528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978083031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978601391
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978606571
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978668472
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1362978674383
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1362978675423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978682863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978685393
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1362978687193
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1362978687383
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1362978700933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978720403
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978726863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1362978732723
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1362978757783
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1362978758923
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1362978781383
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1362978787923
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1362978792353
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1362978800343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362978824043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979076615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979077715
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979078405
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1362979081885
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1362979082315
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979203625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979203725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979205275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979284455
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1362979286825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979309305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979433486
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1362979436186
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1362979452766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979466566
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1362979466716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979474476
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1362979479226
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1362979479226
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1362979480636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1362979481856
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979482636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979500156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979501696
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979501816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979510616
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979537556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979546016
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979547286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979601046
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1362979615716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979615756
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1362979615766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979649806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1362979693496
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1362979697466
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1362979704176
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1362979714646
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1362979716286
