what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363152592438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363152598378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363152603388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363152604738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363152757239
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363152840589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363152853919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363152866819
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153537542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153556212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153667864
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153697254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153717246
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363153769796
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363153772866
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363153780276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153783686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153793358
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363153812018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363154128929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363154130409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363154139231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363154150161
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363154153231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363154223163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363154226003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363154998089
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155015899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155032829
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363155048449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363155050649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363155052499
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155059549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155078061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155086631
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155142591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155155601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363155274981
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1363155275171
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1363155293161
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1363155331271
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1363155332801
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1363155333961
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1363155334651
